0|ReplaceConstant|br.com.caelum.vraptor.http.route.Invocation.hashCode()I:36 - ReplaceConstant - 2 -> 0
1|ReplaceConstant|br.com.caelum.vraptor.http.route.Invocation.hashCode()I:36 - ReplaceConstant - 2 -> 1
2|ReplaceConstant|br.com.caelum.vraptor.http.route.Invocation.hashCode()I:36 - ReplaceConstant - 2 -> -1
3|ReplaceConstant|br.com.caelum.vraptor.http.route.Invocation.hashCode()I:36 - ReplaceConstant - 2 -> 3
4|ReplaceConstant|br.com.caelum.vraptor.http.route.Invocation.hashCode()I:36 - ReplaceConstant - 0 -> 1
5|ReplaceConstant|br.com.caelum.vraptor.http.route.Invocation.hashCode()I:36 - ReplaceConstant - 1 -> 0
6|ReplaceBitwiseOperator|br.com.caelum.vraptor.http.route.Invocation.hashCode()I:37 - ReplaceBitwiseOperator ^ -> |
7|ReplaceBitwiseOperator|br.com.caelum.vraptor.http.route.Invocation.hashCode()I:37 - ReplaceBitwiseOperator ^ -> &
8|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:42 - ReplaceComparisonOperator != -> ==
9|ReplaceConstant|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:43 - ReplaceConstant - 1 -> 0
10|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:44 - ReplaceComparisonOperator = null -> != null
11|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:44 - ReplaceComparisonOperator == -> !=
12|ReplaceConstant|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:45 - ReplaceConstant - 0 -> 1
13|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:48 - ReplaceComparisonOperator == -> -2
14|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:48 - ReplaceComparisonOperator == -> >=
15|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:48 - ReplaceComparisonOperator == -> <=
16|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:49 - ReplaceComparisonOperator == -> -2
17|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:49 - ReplaceComparisonOperator == -> >=
18|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:49 - ReplaceComparisonOperator == -> <=
19|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:50 - ReplaceComparisonOperator == -> -2
20|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:50 - ReplaceComparisonOperator == -> >=
21|ReplaceComparisonOperator|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:50 - ReplaceComparisonOperator == -> <=
22|ReplaceConstant|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:48 - ReplaceConstant - 1 -> 0
23|ReplaceConstant|br.com.caelum.vraptor.http.route.Invocation.equals(Ljava/lang/Object;)Z:48 - ReplaceConstant - 0 -> 1
