assertj-core-assertj-core-3.6.2,24978,830,59955,8676,4459
checkstyle-checkstyle-7.5.1,31441,524,79464,1963,1651
commons-lang3-3.5,26578,264,45630,2948,2037
crawler4j,3745,57,3046,11,331
dex-translator,4981,32,5812,3,149
distributedlog-core,27976,697,21520,395,400
dynjs,34579,672,29148,889,1501
geotools-main,75236,991,62963,680,7612
graphhopper-core,26175,384,50319,998,2085
java-apns-apns-0.2.3,1618,39,905,85,155
jctools-core,6262,133,7058,43,301
jfreechart-1.0.19,,657,129417,2256,990
jpacman-framework,1890,61,1606,41,183
junit-quickcheck-core,3038,67,1000,361,98
pac4j-core,5281,146,2703,431,873
pf4j,3021,67,1176,25,230
stream-lib,4767,77,11907,146,380
telegrambots,1480,21,772,31,65
vraptor-core,12021,407,3490,874,945
zt-zip,4255,84,2440,9,370
