0	ReplaceConstant	org.dynjs.runtime.builtins.types.object.prototype.Pp.<init>(Lorg/dynjs/runtime/GlobalContext;)V:12 - ReplaceConstant - 0 -> 1
1	ReplaceComparisonOperator	org.dynjs.runtime.builtins.types.object.prototype.Pp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:17 - ReplaceComparisonOperator != -> -1
2	ReplaceComparisonOperator	org.dynjs.runtime.builtins.types.object.prototype.Pp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:17 - ReplaceComparisonOperator != -> <
3	ReplaceComparisonOperator	org.dynjs.runtime.builtins.types.object.prototype.Pp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:17 - ReplaceComparisonOperator != -> >
4	ReplaceConstant	org.dynjs.runtime.builtins.types.object.prototype.Pp.call(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;:18 - ReplaceConstant - must be an object -> 
5	ReplaceConstant	org.dynjs.runtime.builtins.types.object.prototype.Pp.pp(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/StringBuilder;Ljava/lang/String;Lorg/dynjs/runtime/JSObject;Ljava/util/Set;)V:29 - ReplaceConstant - [ -> 
6	ReplaceConstant	org.dynjs.runtime.builtins.types.object.prototype.Pp.pp(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/StringBuilder;Ljava/lang/String;Lorg/dynjs/runtime/JSObject;Ljava/util/Set;)V:30 - ReplaceConstant - __ctor__ -> 
7	ReplaceComparisonOperator	org.dynjs.runtime.builtins.types.object.prototype.Pp.pp(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/StringBuilder;Ljava/lang/String;Lorg/dynjs/runtime/JSObject;Ljava/util/Set;)V:31 - ReplaceComparisonOperator == -> -2
8	ReplaceComparisonOperator	org.dynjs.runtime.builtins.types.object.prototype.Pp.pp(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/StringBuilder;Ljava/lang/String;Lorg/dynjs/runtime/JSObject;Ljava/util/Set;)V:31 - ReplaceComparisonOperator == -> >=
9	ReplaceComparisonOperator	org.dynjs.runtime.builtins.types.object.prototype.Pp.pp(Lorg/dynjs/runtime/ExecutionContext;Ljava/lang/StringBuilder;Ljava/lang/String;Lorg/dynjs/runtime/JSObject;Ljava/util/Set;)V:31 - ReplaceComparisonOperator == -> <=
