0|ReplaceConstant|br.com.caelum.vraptor.core.DefaultResult.use(Ljava/lang/Class;)Lbr/com/caelum/vraptor/View;:81 - ReplaceConstant - 1 -> 0
1|ReplaceConstant|br.com.caelum.vraptor.core.DefaultResult.include(Ljava/lang/String;Ljava/lang/Object;)Lbr/com/caelum/vraptor/Result;:92 - ReplaceConstant - including attribute {}: {} -> 
2|InsertUnaryOp|br.com.caelum.vraptor.core.DefaultResult.used()Z:101 - InsertUnaryOp Negation
3|ReplaceComparisonOperator|br.com.caelum.vraptor.core.DefaultResult.include(Ljava/lang/Object;)Lbr/com/caelum/vraptor/Result;:111 - ReplaceComparisonOperator != null -> = null
